"Key","English","Russian"
"Controls_Attack","Attack","Атаковать"
"Controls_Interact","Interact","Взаимодействовать"
"Controls_Jump","Jump","Прыгнуть"
"Controls_Move","Move","Передвигаться"
"Controls_Pause","Pause Game","Поставить на паузу"
"GameOver_CoinsLost","You've lost:","Вы потеряли:"
"GameOver_GemsLeftover","You still have:","У вас все еще остались:"
"GameOver_Header","You are dead","Вы погибли"
"GL_Action","Action","Действие"
"GL_Apply","Apply","Применить"
"GL_Cancel","Cancel","Отменить"
"GL_Change","Change","Изменить"
"GL_Confirm","Confirm","Принять"
"GL_Description","Description","Описание"
"GL_ExitAnyway","Exit anyway","Все равно выйти"
"GL_Header","Header","Заголовок"
"GL_Loading","Loading...","Загрузка..."
"GL_Near","near","около"
"GL_OR","or","или"
"GL_Pause","Pause","Пауза"
"GL_Quit","Quit","Выйти"
"GL_Return","Return","Вернуться"
"GL_Text","Empty Text","Пустой Текст"
"GL_Trade","Trade","Купить"
"GL_Warning","Warning","Внимание"
"MM_Controls","Controls","Управление"
"MM_Exit","Exit","Выйти"
"MM_Play","Play","Играть"
"MM_Rules","How to play","Как играть"
"MM_Settings","Settings","Настройки"
"Pause_ProgressWarning","If you exit to the main menu, all progress since the last save will be lost!\n\nAre you sure you want to exit?","Если вы выйдете в главное меню, весь прогресс после последнего сохранения будет утерян!\n\nВы уверены что хотите выйти?"
"Rules_Death","If you run out of health points, the game will end and you will lose all your gold.\nHowever, all your gems and upgrades will remain forever.","Если у вас закончатся очки здоровья - игра окончится и вы потеряете все ваше золото.\nОднако, все ваши драгоценности и улучшения останутся навсегда."
"Rules_Fights","Hostile fauna will be waiting for you on each level. If you defeat the enemies - you will get their gold.","На уровне вас будет ожидать враждебно настроенная фауна.\nЕсли вы победите врагов - вы получите их золото."
"Rules_MainGoal","The main goal of each level is to find one of the hidden chests and take the loot from it, then successfully sail away to the ship.","Основная цель каждого уровня - найти одно из спрятанных сундуков и забрать его содержимое, после чего успешно уплыть на корaбль."
"Rules_Save","The game is automatically saved when you dock and disembark from the main ship.","Игра автоматически сохраняется, когда вы причаливаете и отчаливаете с основного корабля."
"Rules_Ship","On the ship, you will be able to trade your gold and gems to improve your character.","На корабле вы сможете обеменять золото и драгоценности, чтобы улучшить вашего персонажа."
"Settings_Cursor","Display Cursor (During Game)","Показывать Курсор (во время игры)"
"Settings_Fullscreen","Fullscreen","Полный экран"
"Settings_Language","Language","Язык"
"Settings_Music","Music","Музыка"
"Settings_Resolution","Resolution","Разрешение"
"Settings_ResolutionMismatch","Only for "16:9" screens","Только на "16:9" экранах"
"Settings_SFX","Sound Effects","Эффекты"
"Ship_NextLevel","Start Next Level","На следующий уровень"
"Ship_Trade","Trade","Обменяться"
"Ship_Upgrade","Upgrade","Улучить персонажа"
"Target_Escape","Return to the ship!","Вернись на корaбль!"
"Target_Find","Find a treasure!","Найди сокровище!"
"Trader_GreaterHeal","Greater Heal Potion","Большое зелье исцеления"
"Trader_LesserHeal","Heal Potion","Зелье исцеления"
"Trader_OneGem","Various Gems","Различные камни"
"Trader_RandomGems","Two random gems","Два случайных камня"
"Trader_SoldOut","Sold Out","Продано"
"Trader_Title","Trade your loot","Обменяй сокровища"
"Trader_TrioGems","One of each gems","Каждый из камней"
"Upgrade_Armor","Stronger Armor","Усиленная броня"
"Upgrade_Critical","Critical Hit","Критический удар"
"Upgrade_Endurance","Improved Endurance","Повышенная выносливость"
"Upgrade_Jump","Higher Jump","Высокий прыжок"
"Upgrade_Midas","Midas Blessing","Благословление Мидаса"
"Upgrade_Movespeed","Faster Move Speed","Ускоренное передвижение"
"Upgrade_Regeneration","Inner Regeneration","Внутренняя регенерация"
"Upgrade_Sword","Sharper Sword","Заточенный меч"
"Upgrade_Vampiric","Vampiric Hit","Удар вампира"
"UpgradeDesc_Armor","Significantly  increases your health.","Значительно увеличивает кол-во здоровья."
"UpgradeDesc_Critical","Gives a chance to strike for double damage.","Дает шанс на то что вы нанесете двойной урон."
"UpgradeDesc_Endurance","Increases your health.","Увеличивает кол-во здоровья."
"UpgradeDesc_Jump","Allows you to jump higher.","Позволяет прыгать выше."
"UpgradeDesc_Midas","Gives an extra coin after collecting a coin.","Дает дополнительную монету после того, как вы соберете любую монету."
"UpgradeDesc_Movespeed","Allows you to run faster.","Позволяет бегать быстрее."
"UpgradeDesc_Regeneration","Restores some HP after completing the level.","Восстанавливает немного здоровья по завершению уроня."
"UpgradeDesc_Sword","Increases the amount of damage you deal.","Увеличивает кол-во наносимого урона."
"UpgradeDesc_Vampiric","Restores some HP after dealing damage to an enemy.","Восстанавливает часть здоровья после нанесения урона."
"Upgrader_NoPlayerUpgrades","You haven't purchased any upgrades.","Вы еще не купили ни одного улучшения."
"Upgrader_NoUpgradesInShop","You've already purchased all upgrades.","Вы уже купили все улучшения."
"Upgrader_SwapToPlayer","Swap to your upgrades","Посмотреть ваши улучшения"
"Upgrader_SwapToTrades","Swap to trades","Посмотреть магазин"
"Upgrader_Title","Upgrade your character","Улучши своего персонажа"
